"Class Name - Live Objects","Live Bytes [%]","Live Bytes","Live Objects"
"char[]","39,09%","141274472","1089097"
"byte[]","11,40%","41210360","33496"
"java.lang.String","5,88%","21265560","886065"
"java.util.HashMap$Node","4,06%","14663808","458244"
"java.util.jar.JarFile$JarFileEntry","4,00%","14469408","150723"
"int[]","2,43%","8779464","43943"
"java.util.HashMap$Node[]","2,41%","8712120","72700"
"java.util.LinkedHashMap$Entry","1,53%","5535200","138380"
"java.lang.reflect.Method","1,50%","5436904","61783"
"java.lang.Object[]","1,29%","4673632","88413"
"java.util.HashMap","1,19%","4301568","89616"
"org.objectweb.asm.Item","1,06%","3825696","68316"
"org.objectweb.asm.Label","1,00%","3606592","56353"
"java.lang.Integer","0,93%","3376048","211003"
"java.util.concurrent.ConcurrentHashMap$Node","0,86%","3107872","97121"
"org.objectweb.asm.Edge","0,85%","3061704","127571"
"java.util.LinkedHashMap","0,84%","3036936","54231"
"java.lang.String[]","0,83%","2996808","122214"
"java.lang.Class","0,79%","2842760","25417"
"java.util.TreeMap$Entry","0,75%","2713040","67826"
"java.net.URL","0,71%","2567360","40115"
"java.lang.ref.WeakReference","0,61%","2211744","69117"
"org.infinispan.util.concurrent.BoundedConcurrentHashMap$LRU","0,56%","2007808","22816"
"org.infinispan.util.concurrent.BoundedConcurrentHashMap$HashEntry[]","0,55%","1989376","24864"
"org.apache.catalina.webresources.EmptyResource","0,48%","1725528","71897"
"java.lang.StringBuilder","0,43%","1561896","65079"
"org.objectweb.asm.MethodWriter","0,40%","1456128","7584"
"java.util.ArrayList","0,39%","1401072","58378"
"org.apache.catalina.loader.ResourceEntry","0,36%","1312944","27353"
"java.util.Hashtable$Entry","0,35%","1281984","40062"
"org.infinispan.util.concurrent.BoundedConcurrentHashMap$Segment","0,33%","1193472","24864"
"java.lang.ref.SoftReference","0,32%","1169240","29231"
"org.springframework.core.annotation.AnnotationAttributes","0,31%","1137752","20317"
"java.util.Hashtable$Entry[]","0,31%","1123440","13968"
"java.util.concurrent.ConcurrentHashMap$Node[]","0,29%","1057328","3259"
"java.beans.MethodDescriptor","0,26%","948472","16937"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","0,24%","883424","27607"
"java.util.Vector","0,24%","863936","26998"
"java.beans.MethodRef","0,23%","831528","34647"
"antlr.ANTLRHashString","0,22%","780960","24405"
"java.util.HashSet","0,20%","739952","46247"
"java.lang.reflect.Field","0,20%","713520","9910"
"org.objectweb.asm.Handler","0,20%","710360","17759"
"java.lang.Class[]","0,19%","694288","33206"
"org.olat.restapi.system.vo.MemoryUsageVO","0,18%","649152","13524"
"org.olat.core.commons.services.text.impl.nutch.NGramProfile$NGramEntry","0,18%","640000","20000"
"java.util.Hashtable","0,17%","631248","13151"
"java.util.concurrent.ConcurrentLinkedQueue$Node","0,17%","626208","26092"
"java.util.concurrent.ConcurrentLinkedQueue","0,17%","600312","25013"
"org.hibernate.hql.internal.ast.tree.Node","0,16%","565440","11780"
"org.objectweb.asm.Item[]","0,16%","561296","129"
"java.lang.reflect.Constructor","0,15%","546880","6836"
"java.security.ProtectionDomain","0,15%","546680","13667"
"java.security.CodeSource","0,12%","437120","13660"
"java.lang.String[][]","0,12%","436920","9775"
"boolean[]","0,12%","420480","12482"
"org.springframework.beans.GenericTypeAwarePropertyDescriptor","0,11%","410016","4271"
"java.util.concurrent.atomic.AtomicInteger","0,11%","406752","25422"
"java.lang.Object","0,11%","400256","25016"
"java.util.LinkedList","0,10%","362432","11326"
"java.beans.PropertyDescriptor","0,09%","321192","4461"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node","0,08%","302144","9442"
"org.springframework.beans.factory.support.RootBeanDefinition","0,08%","282096","1959"
"java.util.concurrent.ConcurrentHashMap","0,08%","279360","4365"
"org.olat.core.commons.services.text.impl.nutch.NGramProfile$NGramEntry[]","0,08%","276232","10104"
"java.util.jar.Attributes$Name","0,07%","256560","10690"
"org.objectweb.asm.FieldWriter","0,07%","249648","4458"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper","0,07%","248976","3458"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader","0,07%","248976","3458"
"com.sun.jmx.remote.util.OrderClassLoaders","0,07%","248832","3456"
"org.hibernate.loader.DefaultEntityAliases","0,07%","241440","6036"
"java.util.LinkedHashSet","0,06%","232832","14552"
"sun.reflect.annotation.AnnotationInvocationHandler","0,06%","229968","9582"
"java.security.ProtectionDomain$Key","0,06%","218672","13667"
"java.security.Principal[]","0,06%","218672","13667"
"org.olat.restapi.system.vo.MemoryPoolVO","0,06%","216384","6762"
"org.springframework.beans.PropertyValue","0,06%","212016","3786"
"org.hibernate.annotations.common.reflection.java.JavaXSimpleType","0,06%","207648","6489"
"java.lang.Thread","0,06%","206800","550"
"java.nio.ByteBuffer[]","0,06%","205600","50"
"long[]","0,05%","198144","957"
"org.springframework.transaction.interceptor.AbstractFallbackTransactionAttributeSource$DefaultCacheKey","0,05%","194880","8120"
"javax.servlet.jsp.tagext.TagAttributeInfo","0,05%","190200","4755"
"net.bull.javamelody.CounterRequest","0,05%","188032","1808"
"org.objectweb.asm.ByteVector","0,05%","185112","7713"
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync","0,05%","181872","3789"
"org.objectweb.asm.Type","0,05%","164032","5126"
"org.hibernate.annotations.common.reflection.java.JavaReflectionManager$MemberKey","0,04%","162504","6771"
"java.util.LinkedList$Node","0,04%","161976","6749"
"java.util.LinkedHashMap$LinkedKeySet","0,04%","159200","9950"
"org.hibernate.hql.internal.ast.tree.IdentNode","0,04%","156720","1959"
"java.util.Collections$SynchronizedSet","0,04%","147384","6141"
"org.hibernate.loader.plan.build.internal.spaces.EntityQuerySpaceImpl","0,04%","141200","3530"
"org.springframework.beans.factory.annotation.InjectionMetadata","0,04%","141144","4953"
"org.hibernate.persister.entity.SingleTableEntityPersister","0,04%","140216","257"
"org.hibernate.mapping.Column","0,04%","139392","1936"
"java.lang.Package","0,04%","136304","2434"
"org.hibernate.annotations.common.reflection.java.JavaXMethod","0,04%","135840","4245"
"net.sf.cglib.core.ClassEmitter$FieldInfo","0,03%","121152","3786"
"java.util.WeakHashMap$Entry[]","0,03%","121008","733"
"java.util.LinkedHashMap$LinkedValues","0,03%","115488","7218"
"org.infinispan.util.concurrent.BoundedConcurrentHashMap$LIRSHashEntry","0,03%","114688","2048"
"org.infinispan.util.concurrent.BoundedConcurrentHashMap$LIRS","0,03%","114688","2048"
"org.hibernate.mapping.Property","0,03%","106792","1907"
"java.beans.MethodDescriptor[]","0,03%","106088","985"
"org.hibernate.hql.internal.ast.tree.DotNode","0,03%","105976","1019"
"org.infinispan.factories.AbstractComponentRegistry$Component","0,03%","104592","2179"
"org.springframework.context.annotation.ScannedGenericBeanDefinition","0,03%","102440","985"
"org.hibernate.loader.PropertyPath","0,03%","102024","4251"
"org.apache.tomcat.util.digester.CallMethodRule","0,03%","101184","2108"
"org.hibernate.loader.entity.EntityLoader","0,03%","100512","1047"
"org.springframework.core.type.classreading.MethodMetadataReadingVisitor","0,03%","100096","2497"
"org.infinispan.util.concurrent.BoundedConcurrentHashMap$Segment[]","0,03%","99888","27"
"java.lang.reflect.Type[]","0,03%","99336","4897"
"sun.reflect.generics.tree.SimpleClassTypeSignature","0,03%","98952","4123"
"net.sf.ehcache.store.chm.SelectableConcurrentHashMap$Segment","0,03%","98304","1536"
"java.lang.annotation.ElementType[]","0,03%","97880","4054"
"org.springframework.beans.factory.support.GenericBeanDefinition","0,03%","97656","939"
"org.hibernate.collection.internal.PersistentBag","0,03%","94304","1684"
"org.hibernate.mapping.SimpleValue","0,03%","94232","1528"
"java.util.jar.Attributes","0,03%","94224","5889"
"org.springframework.beans.MutablePropertyValues","0,03%","93192","3883"
"org.springframework.beans.factory.config.ConstructorArgumentValues","0,03%","93192","3883"
"org.hibernate.annotations.common.reflection.java.JavaAnnotationReader","0,03%","92320","5770"
"org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$AutowiredFieldElement","0,03%","91160","2279"
"java.util.LinkedHashMap$LinkedEntrySet","0,02%","88272","5517"
"com.sun.org.apache.xerces.internal.xni.QName","0,02%","87936","2748"
"org.hibernate.loader.plan.build.internal.returns.EntityAttributeFetchImpl","0,02%","87312","1819"
"java.util.WeakHashMap$Entry","0,02%","86240","2156"
"org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor","0,02%","84704","1497"
"java.security.Permissions","0,02%","83776","2618"
"java.io.FilePermission","0,02%","83520","2610"
"org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails","0,02%","81312","1694"
"org.hibernate.annotations.common.reflection.java.JavaXProperty","0,02%","80832","2526"
"sun.reflect.generics.tree.TypeArgument[]","0,02%","80104","4123"
"org.springframework.beans.factory.config.TypedStringValue","0,02%","79328","2479"
"java.beans.PropertyDescriptor[]","0,02%","77120","2208"
"org.springframework.beans.factory.config.RuntimeBeanReference","0,02%","76800","3200"
"net.sf.cglib.core.Signature","0,02%","75000","3125"
"org.apache.catalina.webresources.JarResource","0,02%","73136","1306"
"java.util.HashMap$KeySet","0,02%","69920","4370"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","0,02%","69216","810"
"java.util.TreeMap","0,02%","68928","1436"
"org.hibernate.loader.plan.exec.internal.AliasResolutionContextImpl","0,02%","68520","1713"
"org.hibernate.loader.entity.plan.EntityLoader","0,02%","67760","1694"
"javax.management.MBeanAttributeInfo","0,02%","66560","2080"
"sun.util.calendar.Gregorian$Date","0,02%","64800","675"
"org.springframework.beans.factory.support.DisposableBeanAdapter","0,02%","63320","1583"
"org.olat.admin.sysinfo.model.SessionStatsSample","0,02%","63112","1127"
"java.io.FilePermissionCollection","0,02%","62640","2610"
"org.springframework.beans.factory.support.MethodOverrides","0,02%","62128","3883"
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock","0,02%","60656","3791"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter","0,02%","60656","3791"
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock","0,02%","60656","3791"
"java.lang.reflect.Method[]","0,02%","60424","371"
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference","0,02%","60240","1255"
"short[]","0,02%","58552","868"
"sun.reflect.generics.tree.ClassTypeSignature","0,02%","58000","3625"
"java.io.File","0,02%","57824","1807"
"org.springframework.core.MethodParameter","0,02%","57688","974"
"org.hibernate.hql.internal.ast.HqlToken","0,02%","56960","1424"
"org.hibernate.hql.internal.ast.tree.FromElement","0,02%","56064","438"
"org.hibernate.loader.plan.build.internal.returns.SimpleEntityIdentifierDescriptionImpl","0,02%","55952","3497"
"sun.reflect.NativeConstructorAccessorImpl","0,02%","55704","2321"
"org.hibernate.hql.internal.ast.HqlSqlWalker","0,02%","55176","363"
"java.util.regex.Pattern","0,02%","55152","766"
"sun.reflect.UnsafeObjectFieldAccessorImpl","0,02%","54912","1716"
"org.hibernate.loader.plan.build.internal.LoadPlanImpl","0,02%","54816","1713"
"org.hibernate.loader.plan.build.internal.spaces.QuerySpacesImpl","0,02%","54816","1713"
"org.hibernate.LockMode[]","0,02%","54528","1974"
"org.hibernate.loader.EntityAliases[]","0,02%","54272","1970"
"org.hibernate.type.EntityType[]","0,02%","54272","1970"
"org.hibernate.loader.plan.build.internal.returns.EntityReturnImpl","0,01%","54208","1694"
"org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails$EntityLoaderRowReader","0,01%","54208","1694"
"org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails$EntityLoaderReaderCollectorImpl","0,01%","54208","1694"
"org.hibernate.loader.entity.plan.EntityLoader$Builder","0,01%","54208","1694"
"java.util.concurrent.locks.ReentrantReadWriteLock","0,01%","54024","2251"
"java.util.Date","0,01%","53448","2227"
"java.util.logging.Logger","0,01%","51120","710"
"com.sun.jersey.api.model.Parameter","0,01%","50880","1060"
"org.hibernate.mapping.RootClass","0,01%","50200","236"
"org.hibernate.loader.plan.exec.internal.EntityReferenceAliasesImpl","0,01%","50136","2089"
"org.hibernate.loader.plan.exec.process.internal.EntityReferenceInitializerImpl","0,01%","50136","2089"
"sun.reflect.generics.repository.MethodRepository","0,01%","49680","1242"
"sun.reflect.generics.tree.FieldTypeSignature[]","0,01%","48960","2467"
"net.sf.cglib.proxy.MethodProxy","0,01%","48864","1527"
"net.sf.cglib.proxy.MethodProxy$CreateInfo","0,01%","48864","1527"
"org.hibernate.type.ManyToOneType","0,01%","48856","1118"
"org.hibernate.hql.internal.ast.tree.SqlNode","0,01%","48216","861"
"org.hibernate.loader.entity.CascadeEntityLoader","0,01%","48048","518"
"org.springframework.beans.BeanMetadataAttribute","0,01%","47472","1978"
"java.beans.BeanDescriptor","0,01%","47232","984"
"org.hibernate.persister.entity.Loadable[]","0,01%","46600","1633"
"java.lang.Long","0,01%","46080","1920"
"org.hibernate.engine.FetchStrategy","0,01%","45912","1913"
"sun.reflect.DelegatingClassLoader","0,01%","45864","637"
"org.olat.restapi.system.vo.MemoryPoolVO[]","0,01%","45080","1127"
"org.olat.restapi.system.vo.MemoryVO","0,01%","45080","1127"
"org.bouncycastle.asn1.DERSequence","0,01%","44416","2776"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","0,01%","43808","1369"
"java.lang.ref.ReferenceQueue","0,01%","43520","1360"
"sun.security.util.DerValue","0,01%","43072","1346"
"sun.security.util.DerInputBuffer","0,01%","43072","1346"
"sun.reflect.generics.factory.CoreReflectionFactory","0,01%","43032","1793"
"org.apache.tomcat.util.modeler.AttributeInfo","0,01%","42960","895"
"org.apache.log4j.CategoryKey","0,01%","42840","1785"
"java.lang.annotation.Annotation[]","0,01%","42784","1670"
"java.util.Collections$SingletonList","0,01%","42504","1771"
"org.hibernate.jpa.internal.metamodel.SingularAttributeImpl","0,01%","41400","1035"
"org.apache.log4j.Logger","0,01%","41280","1032"
"org.hibernate.loader.plan.exec.internal.LoadQueryJoinAndFetchProcessor","0,01%","41112","1713"
"org.hibernate.loader.plan.exec.process.internal.ResultSetProcessorImpl","0,01%","41112","1713"
"sun.reflect.generics.tree.MethodTypeSignature","0,01%","40960","1280"
"sun.nio.ch.FileChannelImpl","0,01%","40640","635"
"org.hibernate.tuple.entity.EntityMetamodel","0,01%","40600","259"
"java.math.BigInteger","0,01%","40480","1012"
"org.hibernate.tuple.BaselineAttributeInformation","0,01%","39840","1245"
"javax.management.ObjectName$Property","0,01%","39720","1655"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","0,01%","39696","1654"
"sun.reflect.DelegatingConstructorAccessorImpl","0,01%","39600","2475"
"org.springframework.asm.commons.EmptyVisitor","0,01%","39520","2470"
"java.lang.Class$AnnotationData","0,01%","39456","1644"
"org.hibernate.engine.jdbc.internal.TypeInfo","0,01%","39424","704"
"java.beans.GenericBeanInfo","0,01%","39360","984"
"org.hibernate.tuple.entity.EntityBasedBasicAttribute","0,01%","38400","960"
"java.util.jar.JarVerifier","0,01%","38368","436"
"org.hibernate.type.Type[]","0,01%","38216","1173"
"org.springframework.beans.BeanWrapperImpl$PropertyTokenHolder","0,01%","38160","1590"
"org.hibernate.dialect.lock.SelectLockingStrategy","0,01%","38080","1190"
"java.util.concurrent.CopyOnWriteArrayList","0,01%","37992","1583"
"org.hibernate.loader.hql.QueryLoader","0,01%","37744","337"
"org.hibernate.LockOptions","0,01%","37504","1172"
"org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata","0,01%","37392","1224"
"net.sf.ehcache.store.chm.SelectableConcurrentHashMap$HashEntry[]","0,01%","36864","1536"
"org.bouncycastle.asn1.ASN1ObjectIdentifier","0,01%","36480","2280"
"java.util.concurrent.atomic.AtomicLong","0,01%","36048","1502"
"org.hibernate.hql.internal.ast.tree.FromClause","0,01%","35520","370"
"java.security.Provider$Service","0,01%","35280","630"
"java.util.WeakHashMap","0,01%","34944","728"
"java.util.logging.LogManager$LoggerWeakRef","0,01%","34560","720"
"char[][]","0,01%","33712","134"
"org.hibernate.hql.internal.ast.tree.ParameterNode","0,01%","33472","523"
"org.hibernate.engine.spi.CascadeStyle[]","0,01%","32888","861"
"java.util.concurrent.locks.ReentrantLock","0,01%","32528","2033"
"org.hibernate.loader.plan.build.internal.spaces.JoinImpl","0,01%","32520","813"
"sun.security.util.DerInputStream","0,01%","32304","1346"
"org.hibernate.hql.internal.ast.tree.BinaryLogicOperatorNode","0,01%","32104","554"
"sun.security.x509.AVA[]","0,01%","31968","1332"
"sun.security.x509.AVA","0,01%","31968","1332"
"sun.security.x509.RDN","0,01%","31968","1332"
"org.hibernate.engine.jdbc.spi.TypeInfo","0,01%","31808","568"
"org.springframework.aop.framework.AdvisedSupport$MethodCacheKey","0,01%","31416","1309"
"org.apache.catalina.webresources.JarResourceSet","0,01%","31248","434"
"java.security.Provider$ServiceKey","0,01%","31128","1297"
"org.hibernate.hql.internal.ast.tree.SelectClause","0,01%","30944","344"
"java.lang.ref.Finalizer","0,01%","30840","771"
"sun.nio.cs.UTF_8$Encoder","0,01%","30408","543"
"org.hibernate.property.DirectPropertyAccessor$DirectGetter","0,01%","30384","1266"
"org.hibernate.property.DirectPropertyAccessor$DirectSetter","0,01%","30384","1266"
"java.util.Collections$UnmodifiableMap","0,01%","30240","945"
"org.springframework.expression.common.LiteralExpression","0,01%","30192","1887"
"java.util.jar.JarFile","0,01%","30144","471"
"sun.reflect.generics.scope.MethodScope","0,01%","29808","1242"
"javax.management.ObjectName$Property[]","0,01%","28120","832"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRSHashEntry","0,01%","28056","501"
"java.util.Collections$UnmodifiableSet","0,01%","27952","1747"
"java.util.concurrent.ThreadPoolExecutor$Worker","0,01%","27696","577"
"org.hibernate.hql.internal.ast.tree.QueryNode","0,01%","27520","344"
"org.hibernate.loader.entity.plan.EntityLoader$Builder$1","0,01%","27104","1694"
"org.hibernate.loader.plan.exec.process.internal.EntityReturnReader","0,01%","27104","1694"
"org.olat.restapi.system.vo.MemorySampleVO","0,01%","27048","1127"
"ognl.internal.Entry[]","0,01%","26832","13"
"sun.reflect.generics.tree.FormalTypeParameter[]","0,01%","25768","1560"
"org.hibernate.hql.internal.ast.tree.FromElementType","0,01%","25632","534"
"org.jrobin.core.RrdNioBackend$1","0,01%","25400","635"
"org.hibernate.tuple.StandardProperty","0,01%","24920","623"
"int[][]","0,01%","24632","521"
"net.sf.ehcache.concurrent.ReadWriteLockSync","0,01%","24576","1536"
"boolean[][]","0,01%","24432","519"
"org.hibernate.jpa.internal.metamodel.BasicTypeImpl","0,01%","24240","1010"
"org.infinispan.factories.AbstractComponentRegistry$PrioritizedMethod","0,01%","24144","1006"
"java.util.regex.Pattern$Slice","0,01%","23952","998"
"org.hibernate.mapping.ManyToOne","0,01%","23912","315"
"java.util.Properties","0,01%","23808","496"
"org.apache.activemq.command.ActiveMQObjectMessage","0,01%","23736","129"
"org.hibernate.property.BasicPropertyAccessor$BasicGetter","0,01%","23664","986"
"org.hibernate.property.BasicPropertyAccessor$BasicSetter","0,01%","23664","986"
"java.io.FileDescriptor","0,01%","23648","739"
"java.io.ExpiringCache$Entry","0,01%","23640","985"
"org.springframework.core.io.FileSystemResource","0,01%","23640","985"
"sun.reflect.generics.tree.TypeSignature[]","0,01%","23544","1280"
"com.thoughtworks.xstream.core.util.PrioritizedList$PrioritizedItem","0,01%","23256","969"
"org.hibernate.hql.internal.ast.QueryTranslatorImpl","0,01%","23232","363"
"org.hibernate.hql.internal.ast.HqlParser","0,01%","23232","363"
"sun.nio.cs.UTF_8$Decoder","0,01%","23200","580"
"org.apache.velocity.runtime.parser.Parser$JJCalls","0,01%","23040","720"
"org.apache.tomcat.util.descriptor.tld.TagXml","0,01%","23016","411"
"java.util.HashMap$Values","0,01%","22624","1414"
"java.lang.reflect.Constructor[]","0,01%","22600","1343"
"org.springframework.beans.CachedIntrospectionResults","0,01%","22488","937"
"org.springframework.beans.factory.config.ConstructorArgumentValues$ValueHolder","0,01%","22240","556"
"org.springframework.util.LinkedMultiValueMap","0,01%","22224","1389"
"sun.reflect.NativeMethodAccessorImpl","0,01%","22152","923"
"org.infinispan.jmx.ResourceDMBean$InvokableSetterBasedMBeanAttributeInfo","0,01%","22080","690"
"org.infinispan.factories.AbstractComponentRegistry$PrioritizedMethod[]","0,01%","22000","917"
"java.lang.ref.ReferenceQueue$Lock","0,01%","21792","1362"
"org.hibernate.hql.internal.ast.tree.SqlFragment","0,01%","21672","387"
"org.apache.tomcat.util.digester.CallParamRule","0,01%","21560","539"
"org.apache.log4j.ProvisionNode","0,01%","21312","666"
"java.util.regex.Pattern$Curly","0,01%","21184","662"
"java.text.DecimalFormat","0,01%","21168","147"
"org.apache.tomcat.util.buf.ByteChunk","0,01%","21120","440"
"org.springframework.transaction.interceptor.RuleBasedTransactionAttribute","0,01%","20840","521"
"sun.reflect.DelegatingMethodAccessorImpl","0,01%","20736","1296"
"org.hibernate.tuple.entity.PojoEntityTuplizer","0,01%","20720","259"
"org.infinispan.commons.util.concurrent.ConcurrentWeakKeyHashMap$Segment","0,01%","20480","512"
"org.hibernate.hql.internal.ast.HqlLexer","0,01%","20328","363"
"java.io.RandomAccessFile","0,01%","20320","635"
"org.jrobin.core.RrdNioBackend","0,01%","20320","635"
"org.apache.tomcat.util.buf.CharChunk","0,01%","20016","417"
"javax.management.MBeanOperationInfo","0,01%","19960","499"
"com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl","0,01%","19800","99"
"org.apache.tomcat.util.buf.MessageBytes","0,01%","19632","409"
"net.sf.cglib.core.DebuggingClassWriter","0,01%","19608","129"
"org.hibernate.mapping.Table","0,01%","19520","244"
"org.hibernate.engine.spi.NamedQueryDefinition","0,01%","19488","340"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$HashEntry[]","0,01%","19456","128"
"java.lang.ThreadLocal$ThreadLocalMap","0,01%","19440","810"
"org.hibernate.ejb.metamodel.SingularAttributeImpl","0,01%","19440","486"
"org.apache.tomcat.util.threads.TaskThread","0,01%","19200","50"
"com.sun.activation.registries.MimeTypeEntry","0,01%","19200","800"
"org.hibernate.persister.collection.OneToManyPersister","0,01%","19152","57"
"java.util.TreeSet","0,01%","19104","1194"
"java.lang.reflect.TypeVariable[]","0,01%","19088","1143"
"java.util.regex.Pattern$GroupTail","0,01%","19056","794"
"java.util.regex.Pattern$GroupHead","0,01%","19032","793"
"java.util.ArrayDeque","0,01%","18960","790"
"org.hibernate.engine.spi.ExecuteUpdateResultCheckStyle[]","0,01%","18760","779"
"javax.management.MBeanParameterInfo","0,01%","18592","581"
"org.apache.catalina.webresources.CachedResource","0,01%","18392","209"
"sun.util.calendar.ZoneInfo","0,00%","17696","316"
"org.hibernate.hql.internal.ast.util.ASTPrinter","0,00%","17472","728"
"org.hibernate.hql.internal.ast.ErrorCounter","0,00%","17424","726"
"org.hibernate.engine.query.spi.HQLQueryPlan","0,00%","17424","363"
"org.springframework.web.bind.annotation.RequestMethod[]","0,00%","17280","879"
"org.apache.juli.ClassLoaderLogManager$LogNode","0,00%","17256","719"
"org.hibernate.jpa.event.spi.jpa.Callback[]","0,00%","17248","1078"
"java.util.GregorianCalendar","0,00%","17024","152"
"sun.reflect.generics.reflectiveObjects.WildcardTypeImpl","0,00%","16992","531"
"org.hibernate.param.NamedParameterSpecification","0,00%","16736","523"
"java.security.cert.Certificate[]","0,00%","16696","696"
"org.hibernate.engine.query.spi.NamedParameterDescriptor","0,00%","16672","521"
"javax.management.ObjectName","0,00%","16640","416"
"com.sun.proxy.$Proxy56","0,00%","16576","1036"
"com.sun.org.apache.xerces.internal.xni.QName[]","0,00%","16512","172"
"org.apache.http.impl.client.DefaultHttpClient","0,00%","16512","172"
"org.apache.http.impl.cookie.BasicClientCookie","0,00%","16416","342"
"sun.security.x509.X500Name","0,00%","16368","341"
"org.apache.catalina.util.LifecycleSupport","0,00%","16248","677"
"sun.security.util.ObjectIdentifier","0,00%","16128","504"
"org.infinispan.factories.components.ComponentMetadata$InjectMetadata","0,00%","16128","504"
"com.sun.org.apache.xerces.internal.util.XMLStringBuffer","0,00%","16128","672"
"com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute","0,00%","16128","336"
"javax.xml.namespace.QName","0,00%","15960","665"
"java.util.Collections$UnmodifiableRandomAccessList","0,00%","15936","664"
"java.util.concurrent.SynchronousQueue$TransferStack$SNode","0,00%","15904","497"
"org.bouncycastle.asn1.DERSet","0,00%","15776","986"
"javax.management.MBeanAttributeInfo[]","0,00%","15384","277"
"java.io.ObjectStreamField","0,00%","15280","382"
"sun.nio.ch.NativeThreadSet","0,00%","15240","635"
"java.util.zip.ZipCoder","0,00%","15200","475"
"org.springframework.core.io.ClassPathResource","0,00%","15072","628"
"com.sun.proxy.$Proxy53","0,00%","14624","914"
"org.bouncycastle.asn1.DERPrintableString","0,00%","14528","908"
"antlr.LexerSharedInputState","0,00%","14520","363"
"java.io.StringReader","0,00%","14520","363"
"org.springframework.scheduling.quartz.CronTriggerBean","0,00%","14456","139"
"java.util.regex.Pattern$BnM","0,00%","14432","451"
"org.hibernate.loader.GeneratedCollectionAliases","0,00%","14240","356"
"org.apache.tomcat.util.modeler.OperationInfo","0,00%","13872","289"
"org.hibernate.internal.FilterHelper","0,00%","13856","433"
"org.hibernate.loader.plan.build.internal.spaces.CompositeQuerySpaceImpl","0,00%","13840","346"
"org.hibernate.ejb.event.Callback[]","0,00%","13768","735"
"org.hibernate.FetchMode[]","0,00%","13640","311"
"org.infinispan.factories.components.ComponentMetadata","0,00%","13600","340"
"org.hibernate.property.Setter[]","0,00%","13512","309"
"org.hibernate.property.Getter[]","0,00%","13512","309"
"com.sun.org.apache.xerces.internal.xni.XMLString","0,00%","13344","556"
"org.hibernate.hql.internal.ast.tree.ImpliedFromElement","0,00%","13056","96"
"org.hibernate.annotations.common.reflection.java.JavaXClass","0,00%","12992","406"
"org.hibernate.mapping.ForeignKey","0,00%","12960","324"
"org.springframework.beans.propertyeditors.CustomNumberEditor","0,00%","12880","322"
"sun.reflect.generics.tree.Wildcard","0,00%","12744","531"
"com.sun.org.apache.xerces.internal.util.SymbolTable$Entry[]","0,00%","12720","30"
"org.hibernate.loader.plan.build.internal.returns.CompositeAttributeFetchImpl","0,00%","12520","313"
"sun.reflect.generics.scope.ClassScope","0,00%","12456","519"
"org.bouncycastle.asn1.x509.X509Extension","0,00%","12408","517"
"org.springframework.core.type.classreading.SimpleMetadataReader","0,00%","12288","512"
"org.infinispan.commons.util.concurrent.ConcurrentWeakKeyHashMap$HashEntry[]","0,00%","12288","512"
"org.hibernate.hql.internal.ast.ParameterTranslationsImpl$ParameterInfo","0,00%","12264","511"
"java.security.ProtectionDomain[]","0,00%","12232","259"
"java.security.AccessControlContext","0,00%","12160","304"
"org.infinispan.jmx.IspnMBeanOperationInfo","0,00%","12096","252"
"sun.security.ssl.CipherSuite","0,00%","11928","213"
"org.apache.catalina.Container[]","0,00%","11736","326"
"com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer","0,00%","11712","366"
"sun.security.x509.RDN[]","0,00%","11672","341"
"antlr.CharQueue","0,00%","11616","363"
"org.hibernate.engine.query.spi.QueryPlanCache$HQLQueryPlanKey","0,00%","11616","363"
"antlr.CharBuffer","0,00%","11616","363"
"antlr.TokenQueue","0,00%","11616","363"
"org.hibernate.hql.internal.ast.SqlASTFactory","0,00%","11616","363"
"antlr.TokenBuffer","0,00%","11616","363"
"antlr.Token[]","0,00%","11504","363"
"com.sun.jersey.core.header.QualitySourceMediaType","0,00%","11456","358"
